stack,sdma_enabled,benchmark,num_gcds,run,size_bytes,latency_us
eessi,0,osu_allreduce,2,2,4,1.29
eessi,0,osu_allreduce,2,2,8,1.28
eessi,0,osu_allreduce,2,2,16,1.23
eessi,0,osu_allreduce,2,2,32,1.23
eessi,0,osu_allreduce,2,2,64,1.24
eessi,0,osu_allreduce,2,2,128,1.26
eessi,0,osu_allreduce,2,2,256,1.27
eessi,0,osu_allreduce,2,2,512,35.95
eessi,0,osu_allreduce,2,2,1024,31.86
eessi,0,osu_allreduce,2,2,2048,31.81
eessi,0,osu_allreduce,2,2,4096,48.28
eessi,0,osu_allreduce,2,2,8192,47.17
eessi,0,osu_allreduce,2,2,16384,47.21
eessi,0,osu_allreduce,2,2,32768,46.76
eessi,0,osu_allreduce,2,2,65536,47.39
eessi,0,osu_allreduce,2,2,131072,47.78
eessi,0,osu_allreduce,2,2,262144,49.32
eessi,0,osu_allreduce,2,2,524288,52.64
eessi,0,osu_allreduce,2,2,1048576,56.24
eessi,0,osu_allreduce,2,3,4,1.33
eessi,0,osu_allreduce,2,3,8,1.32
eessi,0,osu_allreduce,2,3,16,1.27
eessi,0,osu_allreduce,2,3,32,1.28
eessi,0,osu_allreduce,2,3,64,1.28
eessi,0,osu_allreduce,2,3,128,1.30
eessi,0,osu_allreduce,2,3,256,1.31
eessi,0,osu_allreduce,2,3,512,35.72
eessi,0,osu_allreduce,2,3,1024,31.56
eessi,0,osu_allreduce,2,3,2048,31.70
eessi,0,osu_allreduce,2,3,4096,48.11
eessi,0,osu_allreduce,2,3,8192,47.10
eessi,0,osu_allreduce,2,3,16384,46.70
eessi,0,osu_allreduce,2,3,32768,46.82
eessi,0,osu_allreduce,2,3,65536,47.31
eessi,0,osu_allreduce,2,3,131072,47.77
eessi,0,osu_allreduce,2,3,262144,49.23
eessi,0,osu_allreduce,2,3,524288,53.01
eessi,0,osu_allreduce,2,3,1048576,56.35
eessi,0,osu_allreduce,2,4,4,1.30
eessi,0,osu_allreduce,2,4,8,1.29
eessi,0,osu_allreduce,2,4,16,1.25
eessi,0,osu_allreduce,2,4,32,1.24
eessi,0,osu_allreduce,2,4,64,1.30
eessi,0,osu_allreduce,2,4,128,1.39
eessi,0,osu_allreduce,2,4,256,1.31
eessi,0,osu_allreduce,2,4,512,35.91
eessi,0,osu_allreduce,2,4,1024,31.26
eessi,0,osu_allreduce,2,4,2048,31.68
eessi,0,osu_allreduce,2,4,4096,47.87
eessi,0,osu_allreduce,2,4,8192,47.13
eessi,0,osu_allreduce,2,4,16384,47.21
eessi,0,osu_allreduce,2,4,32768,47.13
eessi,0,osu_allreduce,2,4,65536,47.24
eessi,0,osu_allreduce,2,4,131072,48.13
eessi,0,osu_allreduce,2,4,262144,49.76
eessi,0,osu_allreduce,2,4,524288,53.18
eessi,0,osu_allreduce,2,4,1048576,57.06
eessi,0,osu_allreduce,2,5,4,1.32
eessi,0,osu_allreduce,2,5,8,1.31
eessi,0,osu_allreduce,2,5,16,1.26
eessi,0,osu_allreduce,2,5,32,1.25
eessi,0,osu_allreduce,2,5,64,1.26
eessi,0,osu_allreduce,2,5,128,1.27
eessi,0,osu_allreduce,2,5,256,1.29
eessi,0,osu_allreduce,2,5,512,35.70
eessi,0,osu_allreduce,2,5,1024,31.44
eessi,0,osu_allreduce,2,5,2048,31.73
eessi,0,osu_allreduce,2,5,4096,47.63
eessi,0,osu_allreduce,2,5,8192,46.75
eessi,0,osu_allreduce,2,5,16384,46.51
eessi,0,osu_allreduce,2,5,32768,46.39
eessi,0,osu_allreduce,2,5,65536,47.16
eessi,0,osu_allreduce,2,5,131072,47.47
eessi,0,osu_allreduce,2,5,262144,48.91
eessi,0,osu_allreduce,2,5,524288,52.86
eessi,0,osu_allreduce,2,5,1048576,56.20
eessi,0,osu_allreduce,2,6,4,1.32
eessi,0,osu_allreduce,2,6,8,1.32
eessi,0,osu_allreduce,2,6,16,1.27
eessi,0,osu_allreduce,2,6,32,1.27
eessi,0,osu_allreduce,2,6,64,1.28
eessi,0,osu_allreduce,2,6,128,1.30
eessi,0,osu_allreduce,2,6,256,1.31
eessi,0,osu_allreduce,2,6,512,35.73
eessi,0,osu_allreduce,2,6,1024,31.26
eessi,0,osu_allreduce,2,6,2048,31.19
eessi,0,osu_allreduce,2,6,4096,47.24
eessi,0,osu_allreduce,2,6,8192,46.56
eessi,0,osu_allreduce,2,6,16384,46.34
eessi,0,osu_allreduce,2,6,32768,46.29
eessi,0,osu_allreduce,2,6,65536,46.96
eessi,0,osu_allreduce,2,6,131072,47.63
eessi,0,osu_allreduce,2,6,262144,48.76
eessi,0,osu_allreduce,2,6,524288,52.57
