## EESSI STACK (HSA_ENABLE_SDMA=0, UCC=ucp+self, UCX_RNDV_THRESH=1024) ##

# [eessi sdma=0 rndv=1024] osu_allreduce  N=2  devices=0,1
  [run 1/6] warm-up — 23:20:53
  [run 1/6] warm-up done in 16s
  [run 2/6] recording — 23:21:09
  [run 2/6] done in 3s

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       1.29
8                       1.28
16                      1.23
32                      1.23
64                      1.24
128                     1.26
256                     1.27
512                    35.95
1024                   31.86
2048                   31.81
4096                   48.28
8192                   47.17
16384                  47.21
32768                  46.76
65536                  47.39
131072                 47.78
262144                 49.32
524288                 52.64
1048576                56.24
  [run 3/6] recording — 23:21:12
  [run 3/6] done in 3s

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       1.33
8                       1.32
16                      1.27
32                      1.28
64                      1.28
128                     1.30
256                     1.31
512                    35.72
1024                   31.56
2048                   31.70
4096                   48.11
8192                   47.10
16384                  46.70
32768                  46.82
65536                  47.31
131072                 47.77
262144                 49.23
524288                 53.01
1048576                56.35
  [run 4/6] recording — 23:21:15
  [run 4/6] done in 4s

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       1.30
8                       1.29
16                      1.25
32                      1.24
64                      1.30
128                     1.39
256                     1.31
512                    35.91
1024                   31.26
2048                   31.68
4096                   47.87
8192                   47.13
16384                  47.21
32768                  47.13
65536                  47.24
131072                 48.13
262144                 49.76
524288                 53.18
1048576                57.06
  [run 5/6] recording — 23:21:19
  [run 5/6] done in 3s

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       1.32
8                       1.31
16                      1.26
32                      1.25
64                      1.26
128                     1.27
256                     1.29
512                    35.70
1024                   31.44
2048                   31.73
4096                   47.63
8192                   46.75
16384                  46.51
32768                  46.39
65536                  47.16
131072                 47.47
262144                 48.91
524288                 52.86
1048576                56.20
  [run 6/6] recording — 23:21:22
  [run 6/6] done in 3s

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       1.32
8                       1.32
16                      1.27
32                      1.27
64                      1.28
128                     1.30
256                     1.31
512                    35.73
1024                   31.26
2048                   31.19
4096                   47.24
8192                   46.56
16384                  46.34
32768                  46.29
65536                  46.96
131072                 47.63
262144                 48.76
524288                 52.57
1048576                56.17

# [eessi sdma=0 rndv=1024] osu_allreduce  N=4  devices=0,1,2,3
  [run 1/6] warm-up — 23:21:26
  [run 1/6] warm-up done in 4s
  [run 2/6] recording — 23:21:29
  [run 2/6] done in 4s

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       2.79
8                       2.86
16                      2.83
32                      2.82
64                      2.83
128                     2.86
256                     2.87
512                    59.91
1024                   45.05
2048                   45.55
4096                  107.41
8192                  107.27
16384                 108.48
32768                 114.84
65536                 108.32
131072                110.60
262144                113.45
524288                120.37
1048576               132.41
  [run 3/6] recording — 23:21:33
  [run 3/6] done in 4s

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       2.96
8                       2.86
16                      2.82
32                      2.84
64                      2.79
128                     2.83
256                     2.91
512                    59.78
1024                   45.64
2048                   45.88
4096                  103.00
8192                  101.59
16384                 102.70
32768                 109.72
65536                 103.54
131072                105.38
262144                108.28
524288                115.40
1048576               127.60
  [run 4/6] recording — 23:21:37
  [run 4/6] done in 3s

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       2.99
8                       2.90
16                      2.68
32                      2.87
64                      2.90
128                     2.90
256                     2.92
512                    60.53
1024                   45.66
2048                   46.35
4096                  107.32
8192                  105.94
16384                 105.25
32768                 112.37
65536                 106.47
131072                108.33
262144                111.70
524288                119.28
1048576               130.92
  [run 5/6] recording — 23:21:40
  [run 5/6] done in 4s

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       2.77
8                       2.85
16                      2.63
32                      2.76
64                      2.68
128                     2.78
256                     2.73
512                    60.14
1024                   45.47
2048                   45.62
4096                  106.18
8192                  105.74
16384                 105.84
32768                 112.82
65536                 106.30
131072                108.68
262144                111.61
524288                118.67
1048576               130.46
  [run 6/6] recording — 23:21:44
  [run 6/6] done in 4s

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       2.83
8                       2.73
16                      2.67
32                      2.68
64                      2.70
128                     2.71
256                     2.73
512                    59.96
1024                   45.21
2048                   45.16
4096                  108.19
8192                  106.65
16384                 107.89
32768                 113.62
65536                 107.21
131072                109.42
262144                112.07
524288                120.00
1048576               131.81

# [eessi sdma=0 rndv=1024] osu_allreduce  N=8  devices=0,1,2,3,4,5,6,7
  [run 1/6] warm-up — 23:21:48
  [run 1/6] warm-up done in 4s
  [run 2/6] recording — 23:21:52
  [run 2/6] done in 5s

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       4.72
8                       4.57
16                      4.44
32                      4.54
64                      4.56
128                     4.66
256                     4.68
512                    95.58
1024                   86.54
2048                   86.23
4096                  167.67
