stack,sdma_enabled,benchmark,num_gcds,run,size_bytes,latency_us
native,0,osu_allreduce,2,2,4,0.94
native,0,osu_allreduce,2,2,8,0.96
native,0,osu_allreduce,2,2,16,0.94
native,0,osu_allreduce,2,2,32,0.98
native,0,osu_allreduce,2,2,64,0.95
native,0,osu_allreduce,2,2,128,0.94
native,0,osu_allreduce,2,2,256,3.41
native,0,osu_allreduce,2,2,512,3.65
native,0,osu_allreduce,2,2,1024,4.11
native,0,osu_allreduce,2,2,2048,3.87
native,0,osu_allreduce,2,2,4096,6.36
native,0,osu_allreduce,2,2,8192,43.01
native,0,osu_allreduce,2,2,16384,44.62
native,0,osu_allreduce,2,2,32768,51.07
native,0,osu_allreduce,2,2,65536,61.51
native,0,osu_allreduce,2,2,131072,86.11
native,0,osu_allreduce,2,2,262144,90.44
native,0,osu_allreduce,2,2,524288,93.88
native,0,osu_allreduce,2,2,1048576,99.19
native,0,osu_allreduce,2,3,4,0.97
native,0,osu_allreduce,2,3,8,0.96
native,0,osu_allreduce,2,3,16,0.96
native,0,osu_allreduce,2,3,32,0.94
native,0,osu_allreduce,2,3,64,0.94
native,0,osu_allreduce,2,3,128,0.98
native,0,osu_allreduce,2,3,256,3.28
native,0,osu_allreduce,2,3,512,3.45
native,0,osu_allreduce,2,3,1024,3.97
native,0,osu_allreduce,2,3,2048,3.79
native,0,osu_allreduce,2,3,4096,6.38
native,0,osu_allreduce,2,3,8192,43.07
native,0,osu_allreduce,2,3,16384,45.22
native,0,osu_allreduce,2,3,32768,51.78
native,0,osu_allreduce,2,3,65536,60.71
native,0,osu_allreduce,2,3,131072,86.68
native,0,osu_allreduce,2,3,262144,90.08
native,0,osu_allreduce,2,3,524288,93.58
native,0,osu_allreduce,2,3,1048576,99.14
native,0,osu_allreduce,2,4,4,0.94
native,0,osu_allreduce,2,4,8,0.95
native,0,osu_allreduce,2,4,16,0.94
native,0,osu_allreduce,2,4,32,0.94
native,0,osu_allreduce,2,4,64,0.94
native,0,osu_allreduce,2,4,128,0.96
native,0,osu_allreduce,2,4,256,3.30
native,0,osu_allreduce,2,4,512,3.49
native,0,osu_allreduce,2,4,1024,4.09
native,0,osu_allreduce,2,4,2048,3.92
native,0,osu_allreduce,2,4,4096,6.22
native,0,osu_allreduce,2,4,8192,42.71
native,0,osu_allreduce,2,4,16384,45.24
native,0,osu_allreduce,2,4,32768,51.19
native,0,osu_allreduce,2,4,65536,60.05
native,0,osu_allreduce,2,4,131072,86.89
native,0,osu_allreduce,2,4,262144,90.09
native,0,osu_allreduce,2,4,524288,94.20
native,0,osu_allreduce,2,4,1048576,99.16
native,0,osu_allreduce,2,5,4,0.96
native,0,osu_allreduce,2,5,8,0.95
native,0,osu_allreduce,2,5,16,0.94
native,0,osu_allreduce,2,5,32,0.94
native,0,osu_allreduce,2,5,64,0.94
native,0,osu_allreduce,2,5,128,0.97
native,0,osu_allreduce,2,5,256,3.33
native,0,osu_allreduce,2,5,512,3.52
native,0,osu_allreduce,2,5,1024,4.13
native,0,osu_allreduce,2,5,2048,3.80
native,0,osu_allreduce,2,5,4096,6.27
native,0,osu_allreduce,2,5,8192,42.67
native,0,osu_allreduce,2,5,16384,44.19
native,0,osu_allreduce,2,5,32768,50.75
native,0,osu_allreduce,2,5,65536,61.78
native,0,osu_allreduce,2,5,131072,86.34
native,0,osu_allreduce,2,5,262144,89.64
native,0,osu_allreduce,2,5,524288,93.65
native,0,osu_allreduce,2,5,1048576,99.10
native,0,osu_allreduce,2,6,4,0.95
native,0,osu_allreduce,2,6,8,0.95
native,0,osu_allreduce,2,6,16,0.95
native,0,osu_allreduce,2,6,32,0.93
native,0,osu_allreduce,2,6,64,0.95
native,0,osu_allreduce,2,6,128,0.97
native,0,osu_allreduce,2,6,256,3.34
native,0,osu_allreduce,2,6,512,3.54
native,0,osu_allreduce,2,6,1024,4.05
native,0,osu_allreduce,2,6,2048,3.86
native,0,osu_allreduce,2,6,4096,6.21
native,0,osu_allreduce,2,6,8192,42.60
native,0,osu_allreduce,2,6,16384,44.96
native,0,osu_allreduce,2,6,32768,54.51
native,0,osu_allreduce,2,6,65536,60.44
native,0,osu_allreduce,2,6,131072,86.60
native,0,osu_allreduce,2,6,262144,90.31
native,0,osu_allreduce,2,6,524288,93.47
native,0,osu_allreduce,2,6,1048576,99.37
native,0,osu_allreduce,4,2,4,1.63
native,0,osu_allreduce,4,2,8,1.47
native,0,osu_allreduce,4,2,16,1.45
native,0,osu_allreduce,4,2,32,1.48
native,0,osu_allreduce,4,2,64,1.48
native,0,osu_allreduce,4,2,128,1.55
native,0,osu_allreduce,4,2,256,5.60
native,0,osu_allreduce,4,2,512,5.85
native,0,osu_allreduce,4,2,1024,6.50
native,0,osu_allreduce,4,2,2048,6.77
native,0,osu_allreduce,4,2,4096,12.15
native,0,osu_allreduce,4,2,8192,48.59
native,0,osu_allreduce,4,2,16384,53.13
native,0,osu_allreduce,4,2,32768,59.49
native,0,osu_allreduce,4,2,65536,75.18
native,0,osu_allreduce,4,2,131072,144.67
native,0,osu_allreduce,4,2,262144,155.25
native,0,osu_allreduce,4,2,524288,175.27
native,0,osu_allreduce,4,2,1048576,218.76
native,0,osu_allreduce,4,3,4,1.55
native,0,osu_allreduce,4,3,8,1.53
native,0,osu_allreduce,4,3,16,1.46
native,0,osu_allreduce,4,3,32,1.47
native,0,osu_allreduce,4,3,64,1.48
native,0,osu_allreduce,4,3,128,1.59
native,0,osu_allreduce,4,3,256,5.35
native,0,osu_allreduce,4,3,512,5.80
native,0,osu_allreduce,4,3,1024,6.53
native,0,osu_allreduce,4,3,2048,6.89
native,0,osu_allreduce,4,3,4096,12.12
native,0,osu_allreduce,4,3,8192,49.27
native,0,osu_allreduce,4,3,16384,56.48
native,0,osu_allreduce,4,3,32768,60.20
native,0,osu_allreduce,4,3,65536,74.80
native,0,osu_allreduce,4,3,131072,153.98
native,0,osu_allreduce,4,3,262144,161.26
native,0,osu_allreduce,4,3,524288,181.31
native,0,osu_allreduce,4,3,1048576,220.94
native,0,osu_allreduce,4,4,4,1.55
native,0,osu_allreduce,4,4,8,1.53
native,0,osu_allreduce,4,4,16,1.47
native,0,osu_allreduce,4,4,32,1.47
native,0,osu_allreduce,4,4,64,1.49
native,0,osu_allreduce,4,4,128,1.59
native,0,osu_allreduce,4,4,256,5.44
native,0,osu_allreduce,4,4,512,5.92
native,0,osu_allreduce,4,4,1024,6.47
native,0,osu_allreduce,4,4,2048,6.72
native,0,osu_allreduce,4,4,4096,11.95
native,0,osu_allreduce,4,4,8192,49.58
native,0,osu_allreduce,4,4,16384,53.11
native,0,osu_allreduce,4,4,32768,59.86
native,0,osu_allreduce,4,4,65536,74.71
native,0,osu_allreduce,4,4,131072,144.61
native,0,osu_allreduce,4,4,262144,153.74
native,0,osu_allreduce,4,4,524288,174.14
native,0,osu_allreduce,4,4,1048576,218.75
native,0,osu_allreduce,4,5,4,1.56
native,0,osu_allreduce,4,5,8,1.48
native,0,osu_allreduce,4,5,16,1.47
native,0,osu_allreduce,4,5,32,1.49
native,0,osu_allreduce,4,5,64,1.48
native,0,osu_allreduce,4,5,128,1.58
native,0,osu_allreduce,4,5,256,5.46
native,0,osu_allreduce,4,5,512,5.91
native,0,osu_allreduce,4,5,1024,6.67
native,0,osu_allreduce,4,5,2048,6.93
native,0,osu_allreduce,4,5,4096,11.75
native,0,osu_allreduce,4,5,8192,48.85
native,0,osu_allreduce,4,5,16384,51.84
native,0,osu_allreduce,4,5,32768,60.17
native,0,osu_allreduce,4,5,65536,76.84
native,0,osu_allreduce,4,5,131072,145.24
native,0,osu_allreduce,4,5,262144,155.17
native,0,osu_allreduce,4,5,524288,175.17
native,0,osu_allreduce,4,5,1048576,217.41
native,0,osu_allreduce,4,6,4,1.55
native,0,osu_allreduce,4,6,8,1.49
native,0,osu_allreduce,4,6,16,1.46
native,0,osu_allreduce,4,6,32,1.49
native,0,osu_allreduce,4,6,64,1.48
native,0,osu_allreduce,4,6,128,1.61
native,0,osu_allreduce,4,6,256,5.36
native,0,osu_allreduce,4,6,512,5.82
native,0,osu_allreduce,4,6,1024,6.64
native,0,osu_allreduce,4,6,2048,6.69
native,0,osu_allreduce,4,6,4096,11.73
native,0,osu_allreduce,4,6,8192,48.52
native,0,osu_allreduce,4,6,16384,54.01
native,0,osu_allreduce,4,6,32768,58.63
native,0,osu_allreduce,4,6,65536,73.99
native,0,osu_allreduce,4,6,131072,144.32
native,0,osu_allreduce,4,6,262144,155.41
native,0,osu_allreduce,4,6,524288,175.30
native,0,osu_allreduce,4,6,1048576,217.60
native,0,osu_allreduce,8,2,4,2.68
native,0,osu_allreduce,8,2,8,2.51
native,0,osu_allreduce,8,2,16,2.50
native,0,osu_allreduce,8,2,32,2.47
native,0,osu_allreduce,8,2,64,2.53
native,0,osu_allreduce,8,2,128,2.66
native,0,osu_allreduce,8,2,256,8.28
native,0,osu_allreduce,8,2,512,9.04
native,0,osu_allreduce,8,2,1024,9.79
native,0,osu_allreduce,8,2,2048,11.24
native,0,osu_allreduce,8,2,4096,17.47
native,0,osu_allreduce,8,2,8192,59.27
native,0,osu_allreduce,8,2,16384,64.77
native,0,osu_allreduce,8,2,32768,75.20
native,0,osu_allreduce,8,2,65536,93.54
native,0,osu_allreduce,8,2,131072,215.33
native,0,osu_allreduce,8,2,262144,227.81
native,0,osu_allreduce,8,2,524288,254.55
native,0,osu_allreduce,8,2,1048576,324.25
native,0,osu_allreduce,8,3,4,2.63
native,0,osu_allreduce,8,3,8,2.53
native,0,osu_allreduce,8,3,16,2.42
native,0,osu_allreduce,8,3,32,2.43
native,0,osu_allreduce,8,3,64,2.51
native,0,osu_allreduce,8,3,128,2.68
native,0,osu_allreduce,8,3,256,8.03
native,0,osu_allreduce,8,3,512,9.15
native,0,osu_allreduce,8,3,1024,9.98
native,0,osu_allreduce,8,3,2048,11.61
