################# NATIVE STACK (HSA_ENABLE_SDMA=0) #################

# [native sdma=0] osu_allreduce  N=2  devices=0,1
  [run 1/6] warm-up — 23:11:37
  [run 1/6] warm-up done in 3s
  [run 2/6] recording — 23:11:40
  [run 2/6] done in 1s

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       0.95
8                       0.95
16                      0.95
32                      0.95
64                      0.95
128                     0.95
256                     3.29
512                     3.51
1024                    4.14
2048                    4.01
4096                    6.34
8192                   42.85
16384                  44.53
32768                  50.58
65536                  61.07
131072                 86.46
262144                 89.84
524288                 93.83
1048576                99.21
  [run 3/6] recording — 23:11:41
  [run 3/6] done in 1s

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       0.94
8                       0.95
16                      0.94
32                      0.94
64                      0.96
128                     0.97
256                     3.32
512                     3.53
1024                    4.08
2048                    3.88
4096                    6.31
8192                   43.14
16384                  45.37
32768                  51.52
65536                  59.72
131072                 86.08
262144                 89.81
524288                 93.27
1048576                98.79
  [run 4/6] recording — 23:11:42
  [run 4/6] done in 1s

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       0.97
8                       0.97
16                      0.95
32                      0.97
64                      0.95
128                     0.99
256                     3.34
512                     3.52
1024                    4.09
2048                    3.94
4096                    6.39
8192                   42.77
16384                  44.61
32768                  50.75
65536                  60.21
131072                 86.23
262144                 89.50
524288                 93.66
1048576                99.51
  [run 5/6] recording — 23:11:43
  [run 5/6] done in 1s

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       0.94
8                       0.95
16                      0.96
32                      0.93
64                      0.93
128                     0.97
256                     3.29
512                     3.59
1024                    4.47
2048                    4.11
4096                    6.31
8192                   42.84
16384                  44.73
32768                  51.13
65536                  59.88
131072                 86.93
262144                 89.65
524288                 94.21
1048576                99.13
  [run 6/6] recording — 23:11:44
  [run 6/6] done in 1s

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       0.96
8                       0.97
16                      0.95
32                      0.95
64                      0.95
128                     0.98
256                     3.29
512                     3.50
1024                    4.06
2048                    3.88
4096                    6.08
8192                   42.91
16384                  44.27
32768                  50.82
65536                  60.28
131072                 86.16
262144                 90.36
524288                 93.62
1048576                99.14

# [native sdma=0] osu_allreduce  N=4  devices=0,1,2,3
  [run 1/6] warm-up — 23:11:45
  [run 1/6] warm-up done in 1s
  [run 2/6] recording — 23:11:46
  [run 2/6] done in 1s

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       1.57
8                       1.48
16                      1.47
32                      1.49
64                      1.56
128                     1.65
256                     5.41
512                     5.78
1024                    6.47
2048                    6.72
4096                   11.86
8192                   48.80
16384                  51.63
32768                  59.28
65536                  74.15
131072                145.58
262144                155.60
524288                174.81
1048576               217.56
  [run 3/6] recording — 23:11:47
  [run 3/6] done in 1s

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       1.58
8                       1.48
16                      1.47
32                      1.48
64                      1.50
128                     1.61
256                     5.72
512                     6.06
1024                    6.69
2048                    7.21
4096                   12.15
8192                   50.21
16384                  53.25
32768                  61.12
65536                  76.51
131072                145.85
262144                156.08
524288                175.80
1048576               219.33
  [run 4/6] recording — 23:11:48
  [run 4/6] done in 1s

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       1.54
8                       1.46
16                      1.47
32                      1.50
64                      1.47
128                     1.61
256                     5.47
512                     5.84
1024                    6.73
2048                    6.96
4096                   12.17
8192                   49.97
16384                  52.28
32768                  59.32
65536                  75.27
131072                146.44
262144                155.99
524288                176.07
1048576               217.58
  [run 5/6] recording — 23:11:49
  [run 5/6] done in 1s

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       1.55
8                       1.46
16                      1.45
32                      1.46
64                      1.48
128                     1.56
256                     5.60
512                     6.03
1024                    6.85
2048                    6.95
4096                   12.01
8192                   49.80
16384                  53.63
32768                  61.57
65536                  75.85
131072                144.93
262144                156.36
524288                175.76
1048576               217.25
  [run 6/6] recording — 23:11:50
  [run 6/6] done in 2s

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)
4                       1.56
8                       1.47
16                      1.46
32                      1.48
64                      1.48
128                     1.59
256                     5.78
512                     5.89
1024                    6.53
2048                    6.90
4096                   12.53
8192                   49.59
16384                  51.30
32768                  59.71
65536                  74.70
131072                146.09
262144                156.15
524288                175.47
1048576               218.29

