stack,sdma_enabled,pair_label,gcd_a,gcd_b,tier,num_links,run,size_bytes,bandwidth_MBps
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,1,4.41
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,2,8.92
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,4,17.85
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,8,35.80
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,16,71.06
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,32,136.55
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,64,286.78
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,128,564.55
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,256,1169.84
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,512,2236.31
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,1024,4526.79
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,2048,8492.23
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,4096,13549.55
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,8192,17751.78
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,16384,20720.46
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,32768,26260.87
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,65536,30882.05
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,131072,33096.93
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,262144,25474.97
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,524288,14551.71
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,1048576,11388.91
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,2097152,10495.26
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,4194304,10367.54
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,8388608,9812.20
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,16777216,9808.35
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,1,4.59
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,2,8.88
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,4,18.10
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,8,34.94
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,16,71.93
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,32,144.59
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,64,296.60
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,128,589.62
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,256,1165.79
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,512,2215.94
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,1024,4668.10
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,2048,8723.62
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,4096,13559.46
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,8192,17459.65
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,16384,20818.11
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,32768,26636.46
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,65536,30919.35
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,131072,33659.27
