stack,sdma_enabled,pair_label,gcd_a,gcd_b,tier,num_links,run,size_bytes,latency_us
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,1,2.16
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,2,0.49
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,4,0.49
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,8,0.49
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,16,0.49
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,32,0.49
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,64,0.58
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,128,0.62
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,256,0.64
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,512,21.91
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,1024,14.81
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,2048,14.81
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,4096,15.05
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,8192,15.24
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,16384,15.09
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,32768,15.46
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,65536,15.69
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,131072,16.21
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,262144,17.93
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,524288,19.13
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,1048576,23.41
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,2097152,30.37
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,4194304,41.26
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,1,2.14
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,2,0.49
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,4,0.49
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,8,0.49
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,16,0.49
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,32,0.49
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,64,0.58
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,128,0.57
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,256,0.63
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,512,21.99
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,1024,14.96
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,2048,15.18
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,4096,15.00
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,8192,15.38
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,16384,15.40
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,32768,15.93
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,65536,15.78
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,131072,16.53
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,262144,17.82
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,524288,19.36
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,1048576,23.51
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,2097152,30.49
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,4194304,41.30
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,1,2.15
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,2,0.49
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,4,0.49
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,8,0.49
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,16,0.49
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,32,0.50
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,64,0.62
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,128,0.66
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,256,0.72
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,512,21.99
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,1024,14.83
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,2048,15.10
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,4096,14.77
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,8192,15.02
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,16384,15.28
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,32768,15.63
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,65536,15.83
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,131072,16.48
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,262144,17.83
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,524288,19.41
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,1048576,23.46
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,2097152,30.53
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,4,4194304,41.32
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,1,2.16
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,2,0.49
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,4,0.49
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,8,0.49
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,16,0.50
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,32,0.49
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,64,0.58
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,128,0.57
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,256,0.66
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,512,22.17
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,1024,14.83
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,2048,15.04
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,4096,14.79
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,8192,15.01
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,16384,15.19
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,32768,15.79
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,65536,15.76
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,131072,16.56
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,262144,17.89
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,524288,19.31
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,1048576,23.64
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,2097152,30.63
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,5,4194304,41.41
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,6,1,2.13
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,6,2,0.49
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,6,4,0.49
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,6,8,0.53
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,6,16,0.49
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,6,32,0.64
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,6,64,0.66
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,6,128,0.66
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,6,256,0.72
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,6,512,21.98
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,6,1024,14.92
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,6,2048,15.12
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,6,4096,14.88
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,6,8192,15.31
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,6,16384,15.37
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,6,32768,15.56
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,6,65536,15.81
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,6,131072,16.33
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,6,262144,17.87
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,6,524288,19.28
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,6,1048576,23.44
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,6,2097152,30.54
eessi,0,intra_pkg_OAM0,0,1,intra_pkg,4,6,4194304,41.50
eessi,0,intra_pkg_OAM1,2,3,intra_pkg,4,2,1,2.14
eessi,0,intra_pkg_OAM1,2,3,intra_pkg,4,2,2,0.52
eessi,0,intra_pkg_OAM1,2,3,intra_pkg,4,2,4,0.52
eessi,0,intra_pkg_OAM1,2,3,intra_pkg,4,2,8,0.53
eessi,0,intra_pkg_OAM1,2,3,intra_pkg,4,2,16,0.53
eessi,0,intra_pkg_OAM1,2,3,intra_pkg,4,2,32,0.53
eessi,0,intra_pkg_OAM1,2,3,intra_pkg,4,2,64,0.61
