stack,sdma_enabled,pair_label,gcd_a,gcd_b,tier,num_links,run,size_bytes,latency_us
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,1,0.49
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,2,0.49
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,4,0.51
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,8,0.52
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,16,0.52
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,32,0.58
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,64,0.65
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,128,0.72
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,256,1.09
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,512,1.23
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,1024,2.51
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,2048,2.53
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,4096,2.56
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,8192,16.24
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,16384,16.28
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,32768,16.75
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,65536,16.97
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,131072,17.53
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,262144,19.03
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,524288,20.48
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,1048576,24.39
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,2097152,31.62
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,2,4194304,43.10
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,1,0.49
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,2,0.49
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,4,0.51
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,8,0.51
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,16,0.51
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,32,0.60
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,64,0.65
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,128,0.62
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,256,1.11
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,512,1.23
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,1024,2.53
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,2048,2.53
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,4096,2.50
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,8192,16.53
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,16384,16.26
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,32768,16.95
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,65536,17.09
native,0,intra_pkg_OAM0,0,1,intra_pkg,4,3,131072,17.56
