################# NATIVE STACK (HSA_ENABLE_SDMA=0) #################

# [native sdma=0] intra_pkg_OAM0  GCD(0,1) tier=intra_pkg
  [run 1/6] warm-up — 21:17:08
  [run 1/6] warm-up done in 3s
  [run 2/6] recording — 21:17:11
  [run 2/6] done in 1s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.49
2                       0.49
4                       0.51
8                       0.52
16                      0.52
32                      0.58
64                      0.65
128                     0.72
256                     1.09
512                     1.23
1024                    2.51
2048                    2.53
4096                    2.56
8192                   16.24
16384                  16.28
32768                  16.75
65536                  16.97
131072                 17.53
262144                 19.03
524288                 20.48
1048576                24.39
2097152                31.62
4194304                43.10
  [run 3/6] recording — 21:17:12
  [run 3/6] done in 2s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.49
2                       0.49
4                       0.51
8                       0.51
16                      0.51
32                      0.60
64                      0.65
128                     0.62
256                     1.11
512                     1.23
1024                    2.53
2048                    2.53
4096                    2.50
8192                   16.53
16384                  16.26
32768                  16.95
65536                  17.09
131072                 17.56
262144                 19.12
524288                 20.46
1048576                24.54
2097152                31.70
4194304                42.96
  [run 4/6] recording — 21:17:14
  [run 4/6] done in 0s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.50
2                       0.51
4                       0.51
8                       0.52
16                      0.52
32                      0.58
64                      0.67
128                     0.68
256                     1.10
512                     1.23
1024                    2.54
2048                    2.55
4096                    2.50
8192                   16.24
16384                  16.22
32768                  16.70
65536                  16.93
131072                 17.83
262144                 19.39
524288                 20.72
1048576                24.48
2097152                31.65
4194304                42.85
  [run 5/6] recording — 21:17:14
  [run 5/6] done in 1s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.51
2                       0.54
4                       0.54
8                       0.55
16                      0.55
32                      0.59
64                      0.65
128                     0.65
256                     1.15
512                     1.30
1024                    2.54
2048                    2.59
4096                    2.57
8192                   16.27
16384                  16.66
32768                  16.85
65536                  17.25
131072                 17.54
262144                 19.07
524288                 20.51
1048576                24.48
2097152                31.64
4194304                43.12
  [run 6/6] recording — 21:17:15
  [run 6/6] done in 1s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
# Size       Avg Latency(us)
1                       0.50
2                       0.51
4                       0.52
8                       0.54
16                      0.54
32                      0.62
64                      0.70
128                     0.71
256                     1.15
512                     1.30
1024                    2.53
2048                    2.57
4096                    2.59
8192                   16.21
16384                  16.32
32768                  16.78
65536                  17.00
131072                 17.54
262144                 19.05
524288                 20.53
1048576                24.45
2097152                31.60
4194304                43.11

# [native sdma=0] intra_pkg_OAM1  GCD(2,3) tier=intra_pkg
  [run 1/6] warm-up — 21:17:16
  [run 1/6] warm-up done in 2s
  [run 2/6] recording — 21:17:18
  [run 2/6] done in 0s

# OSU MPI-ROCM Latency Test v7.5
# Datatype: MPI_CHAR.
