################# EESSI STACK (HSA_ENABLE_SDMA=0) ##################

# [eessi sdma=0] cfg_routed_split  ROCR=0,1,2,3,4,5,6,7
  [run 1/6] warm-up — 21:25:33
  [run 1/6] warm-up done in 15s
  [run 2/6] recording — 21:25:48
  [run 2/6] done in 6s
# OSU MPI Multiple Bandwidth / Message Rate Test v7.5
# [ pairs: 4 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                      10.14       10139392.89
2                      20.66       10329553.09
4                      42.09       10522227.18
8                      85.49       10686361.85
16                    171.49       10718211.21
32                    326.34       10198100.09
64                    679.71       10620535.93
128                    65.10         508583.18
256                   129.92         507498.63
512                   258.70         505282.30
1024                  514.94         502867.56
2048                 1025.16         500568.52
4096                 2030.55         495740.56
8192                 3740.32         456582.01
16384                7280.62         444373.67
32768               13222.92         403531.36
65536               23923.81         365048.42
131072              40661.69         310224.09
262144              61318.89         233913.00
524288              87854.24         167568.66
1048576            108450.73         103426.67
2097152            130888.04          62412.28
4194304            139635.77          33291.76
  [run 3/6] recording — 21:25:54
  [run 3/6] done in 6s
# OSU MPI Multiple Bandwidth / Message Rate Test v7.5
# [ pairs: 4 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                      10.15       10147369.74
2                      20.37       10183853.36
4                      41.61       10401903.55
8                      83.77       10471383.01
16                    168.38       10523479.38
32                    336.93       10529097.43
64                    671.46       10491485.09
128                    64.94         507352.61
256                   129.78         506941.83
512                   258.47         504823.03
1024                  515.45         503371.46
2048                 1029.04         502462.72
4096                 2030.97         495843.41
8192                 3722.00         454345.77
16384                7260.16         443125.10
32768               13176.27         402107.75
65536               23849.87         363920.16
131072              40693.85         310469.47
262144              61294.09         233818.41
524288              87843.79         167548.73
1048576            108570.33         103540.73
2097152            131038.40          62483.98
4194304            139709.23          33309.28
  [run 4/6] recording — 21:26:00
  [run 4/6] done in 6s
# OSU MPI Multiple Bandwidth / Message Rate Test v7.5
# [ pairs: 4 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       9.99        9989150.46
2                      20.28       10138637.95
4                      41.45       10362474.08
8                      84.05       10506435.86
16                    169.29       10580389.10
32                    337.94       10560636.77
64                    672.94       10514623.03
128                    65.02         507965.32
256                   129.83         507154.20
512                   256.83         501630.43
1024                  509.14         497209.68
2048                 1018.02         497080.92
4096                 2005.76         489688.59
8192                 3705.02         452272.37
16384                7223.12         440864.42
32768               13183.04         402314.38
65536               23823.45         363517.03
131072              40649.09         310127.95
262144              61256.45         233674.80
524288              87774.04         167415.70
1048576            108517.71         103490.55
2097152            130979.23          62455.77
4194304            139616.30          33287.12
  [run 5/6] recording — 21:26:06
  [run 5/6] done in 6s
# OSU MPI Multiple Bandwidth / Message Rate Test v7.5
# [ pairs: 4 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                       9.99        9988786.03
2                      20.29       10144013.29
4                      41.44       10360079.54
8                      83.83       10478311.38
16                    167.97       10498317.40
32                    334.62       10456862.79
64                    677.02       10578414.04
128                    64.09         500694.53
256                   127.80         499225.75
512                   254.97         497978.83
1024                  508.99         497057.17
2048                 1018.33         497229.44
4096                 2002.71         488942.10
8192                 3690.43         450492.39
16384                7184.97         438535.53
32768               13077.24         399085.76
65536               23713.56         361840.21
131072              40563.07         309471.65
262144              61101.98         233085.55
524288              87731.43         167334.42
1048576            108337.21         103318.42
2097152            130689.91          62317.80
4194304            139507.19          33261.11
  [run 6/6] recording — 21:26:12
  [run 6/6] done in 6s
# OSU MPI Multiple Bandwidth / Message Rate Test v7.5
# [ pairs: 4 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                      10.13       10125111.37
2                      21.07       10532898.85
4                      42.88       10719038.10
8                      86.24       10779854.01
16                    172.25       10765542.57
32                    343.55       10735891.92
64                    678.65       10603861.98
128                    64.58         504525.96
256                   129.03         504006.36
512                   256.61         501182.84
1024                  509.62         497677.25
2048                 1016.16         496173.92
4096                 1997.19         487595.50
8192                 3677.67         448934.27
16384                7168.33         437520.15
32768               13012.14         397099.01
65536               23669.82         361172.77
131072              40550.01         309372.01
262144              61032.16         232819.23
524288              87620.96         167123.71
1048576            108338.80         103319.93
2097152            130820.12          62379.90
4194304            139569.98          33276.08

# [eessi sdma=0] cfg_intra_pkg  ROCR=0,2,4,6,1,3,5,7
  [run 1/6] warm-up — 21:26:18
  [run 1/6] warm-up done in 5s
  [run 2/6] recording — 21:26:23
  [run 2/6] done in 4s
# OSU MPI Multiple Bandwidth / Message Rate Test v7.5
# [ pairs: 4 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                      10.70       10702089.47
2                      21.01       10505880.73
4                      42.96       10740435.56
8                      86.95       10868180.85
16                    174.03       10876992.58
32                    349.67       10927323.16
64                    686.75       10730523.34
128                    65.70         513250.93
256                   130.91         511361.90
512                   260.70         509186.11
1024                  520.91         508700.48
2048                 1045.22         510362.27
4096                 2070.89         505588.16
8192                 3881.80         473852.80
16384                7728.55         471713.02
32768               14380.20         438848.88
65536               27892.60         425607.25
131072              52695.99         402038.51
262144              87116.73         332323.94
524288             155410.43         296421.87
1048576            235661.05         224743.89
2097152            332164.43         158388.34
4194304            466673.98         111263.75
  [run 3/6] recording — 21:26:27
  [run 3/6] done in 5s
# OSU MPI Multiple Bandwidth / Message Rate Test v7.5
# [ pairs: 4 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                      10.35       10352432.59
2                      20.75       10376509.20
4                      42.64       10661120.66
8                      86.29       10785793.51
16                    173.41       10838280.68
32                    346.21       10819009.59
64                    686.20       10721832.73
128                    66.11         516521.27
256                   131.69         514411.62
512                   263.68         515003.50
1024                  520.09         507903.53
2048                 1038.95         507298.98
4096                 2062.42         503520.25
8192                 3864.46         471735.44
16384                7708.01         470459.35
32768               14336.31         437509.59
65536               27819.22         424487.58
131072              52029.99         396957.35
262144              86888.61         331453.73
524288             155249.52         296114.97
1048576            235193.30         224297.81
2097152            332131.39         158372.59
4194304            465676.55         111025.94
  [run 4/6] recording — 21:26:32
  [run 4/6] done in 5s
# OSU MPI Multiple Bandwidth / Message Rate Test v7.5
# [ pairs: 4 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                      10.15       10154706.56
2                      19.99        9997364.95
4                      40.94       10235396.12
8                      82.82       10351930.25
16                    165.47       10342001.09
32                    334.23       10444549.18
