################# NATIVE STACK (HSA_ENABLE_SDMA=0) #################

# [native sdma=0] cfg_routed_split  ROCR=0,1,2,3,4,5,6,7
  [run 1/6] warm-up — 21:25:31
  [run 1/6] warm-up done in 5s
  [run 2/6] recording — 21:25:36
  [run 2/6] done in 4s
# OSU MPI Multiple Bandwidth / Message Rate Test v7.5
# [ pairs: 4 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                      12.97       12965903.60
2                      26.16       13078079.20
4                      53.03       13256387.60
8                     107.81       13476117.00
16                    218.08       13629859.08
32                    416.01       13000259.25
64                    871.13       13611451.80
128                  1661.11       12977437.26
256                  1651.03        6449334.18
512                  3148.34        6149108.68
1024                 2177.23        2126198.12
2048                 4404.04        2150411.36
4096                 8824.73        2154474.75
8192                 3852.06         470222.35
16384                7500.33         457783.71
32768               13512.69         412374.58
65536               24362.53         371742.76
131072              41474.18         316422.90
262144              62222.51         237360.04
524288              88641.63         169070.48
1048576            109136.38         104080.56
2097152            131259.01          62589.17
4194304            139886.37          33351.51
  [run 3/6] recording — 21:25:40
  [run 3/6] done in 3s
# OSU MPI Multiple Bandwidth / Message Rate Test v7.5
# [ pairs: 4 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                      13.67       13667301.31
2                      27.97       13982582.12
4                      54.73       13683403.98
8                     113.60       14199434.10
16                    231.84       14489806.69
32                    440.90       13778022.60
64                    888.27       13879186.56
128                  1678.80       13115652.77
256                  1659.18        6481170.17
512                  3163.62        6178938.06
1024                 2188.60        2137307.43
2048                 4377.37        2137388.45
4096                 8806.51        2150026.72
8192                 3840.13         468765.34
16384                7478.16         456430.73
32768               13505.12         412143.48
65536               24381.27         372028.61
131072              41381.22         315713.66
262144              62027.44         236615.89
524288              88647.96         169082.57
1048576            109078.51         104025.37
2097152            131071.03          62499.54
4194304            139678.66          33301.99
  [run 4/6] recording — 21:25:43
  [run 4/6] done in 4s
# OSU MPI Multiple Bandwidth / Message Rate Test v7.5
# [ pairs: 4 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                      13.59       13590617.16
2                      27.44       13721959.60
4                      55.43       13856322.92
8                     111.81       13976560.87
16                    221.45       13840512.42
32                    422.39       13199829.44
64                    886.48       13851228.62
128                  1668.04       13031569.35
256                  1636.92        6394225.61
512                  2973.11        5806855.48
1024                 2129.88        2079958.39
2048                 4266.07        2083043.71
4096                 8518.96        2079823.50
8192                 3832.62         467848.59
16384                7467.40         455773.78
32768               13556.72         413718.14
65536               24326.01         371185.48
131072              41420.37         316012.38
262144              62122.37         236978.02
524288              88426.54         168660.24
1048576            109109.36         104054.80
2097152            131293.74          62605.73
4194304            139847.08          33342.14
  [run 5/6] recording — 21:25:47
srun: Step created for StepId=18634827.4
  [run 5/6] done in 4s
# OSU MPI Multiple Bandwidth / Message Rate Test v7.5
# [ pairs: 4 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                      12.58       12579327.15
2                      27.36       13681879.21
4                      52.97       13241359.34
8                     102.71       12839038.70
16                    215.53       13470465.48
32                    430.01       13437801.74
64                    827.19       12924814.94
128                  1649.55       12887074.74
256                  1736.52        6783298.78
512                  3119.87        6093487.67
1024                 2185.73        2134499.39
2048                 4288.11        2093804.40
4096                 8705.49        2125364.41
8192                 3827.49         467222.70
16384                7450.11         454718.47
32768               13502.41         412060.94
65536               24358.16         371676.08
131072              41357.76         315534.68
262144              62070.25         236779.22
524288              88543.99         168884.26
1048576            109105.14         104050.77
2097152            131329.53          62622.80
4194304            139883.10          33350.73
  [run 6/6] recording — 21:25:51
  [run 6/6] done in 4s
# OSU MPI Multiple Bandwidth / Message Rate Test v7.5
# [ pairs: 4 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                      12.90       12904289.24
2                      27.26       13628467.74
4                      55.69       13921356.57
8                     109.02       13626904.41
16                    215.95       13496785.02
32                    437.71       13678585.83
64                    863.99       13499784.98
128                  1628.95       12726145.40
256                  1660.24        6485325.81
512                  3116.76        6087424.09
1024                 2180.86        2129749.98
2048                 4271.29        2085588.52
4096                 8600.55        2099744.68
8192                 3820.04         466313.10
16384                7442.36         454245.57
32768               13387.25         408546.31
65536               24191.38         369131.13
131072              41252.99         314735.33
262144              61954.44         236337.44
524288              88330.72         168477.47
1048576            109003.19         103953.54
2097152            131193.19          62557.79
4194304            139772.02          33324.25

# [native sdma=0] cfg_intra_pkg  ROCR=0,2,4,6,1,3,5,7
  [run 1/6] warm-up — 21:25:55
  [run 1/6] warm-up done in 2s
  [run 2/6] recording — 21:25:57
  [run 2/6] done in 3s
# OSU MPI Multiple Bandwidth / Message Rate Test v7.5
# [ pairs: 4 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                      13.36       13360060.41
2                      27.41       13702540.07
4                      54.85       13712248.46
8                     111.71       13964314.90
16                    218.97       13685357.08
32                    434.76       13586100.25
64                    876.65       13697578.33
128                  1567.66       12247362.27
256                  1660.74        6487253.15
512                  3232.88        6314228.31
1024                 2285.11        2231550.28
2048                 4499.85        2197193.24
4096                 8932.51        2180789.21
8192                 3841.43         468924.25
16384                7631.60         465795.94
32768               14238.23         434516.19
65536               27403.98         418151.61
131072              51509.69         392987.73
262144              86631.59         330473.30
524288             154556.27         294792.69
1048576            235122.12         224229.93
2097152            332883.35         158731.15
4194304            467405.93         111438.26
  [run 3/6] recording — 21:26:00
  [run 3/6] done in 2s
# OSU MPI Multiple Bandwidth / Message Rate Test v7.5
# [ pairs: 4 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                      12.72       12723914.17
2                      28.14       14072326.54
4                      56.16       14039992.87
8                     106.81       13351488.23
16                    225.19       14074065.32
32                    449.33       14041521.50
64                    858.93       13420829.10
128                  1685.13       13165041.92
256                  1627.30        6356636.22
512                  3076.77        6009319.85
1024                 2145.92        2095621.58
2048                 4321.85        2110276.19
4096                 8681.10        2119409.12
8192                 3851.86         470197.92
16384                7669.01         468079.41
32768               14258.94         435148.21
65536               27713.78         422878.75
131072              52123.20         397668.46
262144              86817.26         331181.55
524288             154991.62         295623.05
1048576            235681.61         224763.50
2097152            333163.73         158864.85
4194304            468587.96         111720.07
  [run 4/6] recording — 21:26:02
  [run 4/6] done in 2s
# OSU MPI Multiple Bandwidth / Message Rate Test v7.5
# [ pairs: 4 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                      12.69       12691580.58
2                      26.58       13289003.78
4                      53.17       13293563.42
8                     105.85       13231210.10
16                    218.13       13633199.82
32                    425.13       13285403.82
64                    870.48       13601179.16
128                  1710.37       13362237.88
256                  1708.91        6675425.12
512                  3124.45        6102439.70
1024                 2224.09        2171960.93
2048                 4521.28        2207655.91
4096                 8910.43        2175397.68
8192                 3836.06         468268.99
16384                7618.34         464986.64
32768               14210.22         433661.46
65536               27567.49         420646.46
131072              51737.16         394723.22
262144              86871.59         331388.81
524288             154545.39         294771.93
1048576            234978.35         224092.81
2097152            333300.57         158930.10
4194304            467448.40         111448.38
  [run 5/6] recording — 21:26:04
  [run 5/6] done in 2s
# OSU MPI Multiple Bandwidth / Message Rate Test v7.5
# [ pairs: 4 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                      13.24       13237821.08
2                      26.26       13131747.34
4                      54.16       13539820.89
8                     110.14       13767763.64
16                    219.51       13719564.07
32                    428.87       13402250.22
64                    870.69       13604534.77
128                  1618.57       12645105.36
256                  1657.70        6475394.23
512                  3151.68        6155620.33
1024                 2208.23        2156476.19
2048                 4352.52        2125252.55
4096                 8546.85        2086633.69
8192                 3837.11         468397.21
16384                7639.00         466247.65
32768               14356.43         438123.47
65536               27875.28         425343.01
131072              52074.34         397295.67
262144              86898.14         331490.10
524288             154539.62         294760.92
1048576            234665.88         223794.82
2097152            332807.48         158694.97
4194304            467614.44         111487.97
  [run 6/6] recording — 21:26:06
  [run 6/6] done in 2s
# OSU MPI Multiple Bandwidth / Message Rate Test v7.5
# [ pairs: 4 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                      13.00       13001191.82
2                      28.15       14076650.11
4                      53.20       13299141.72
8                     108.46       13556966.80
16                    227.28       14205093.25
32                    445.21       13912831.76
64                    843.62       13181505.73
128                  1670.40       13049972.22
256                  1632.19        6375745.87
512                  3118.92        6091646.56
1024                 2186.47        2135226.57
2048                 4359.85        2128831.34
4096                 8654.09        2112814.21
8192                 3852.11         470228.55
16384                7648.43         466822.96
32768               14323.14         437107.49
65536               27916.63         425973.97
131072              51917.11         396096.13
262144              86926.02         331596.44
524288             154657.01         294984.83
1048576            234858.35         223978.37
2097152            331694.68         158164.35
4194304            466493.31         111220.67

# [native sdma=0] cfg_mixed_1link  ROCR=0,1,4,5,2,3,6,7
  [run 1/6] warm-up — 21:26:08
  [run 1/6] warm-up done in 3s
  [run 2/6] recording — 21:26:11
  [run 2/6] done in 4s
# OSU MPI Multiple Bandwidth / Message Rate Test v7.5
# [ pairs: 4 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                      12.94       12940233.31
2                      26.50       13249910.65
4                      54.08       13519884.85
8                     111.11       13888593.14
16                    224.74       14045943.68
32                    429.68       13427409.12
64                    880.41       13756394.41
128                  1626.68       12708432.56
256                  1652.35        6454496.12
512                  3118.34        6090517.22
1024                 2212.15        2160303.51
2048                 4368.19        2132904.22
4096                 8850.51        2160769.89
8192                 3769.84         460185.89
16384                7364.23         449477.08
32768               13395.49         408797.91
65536               24362.33         371739.65
131072              41586.12         317276.91
262144              62990.11         240288.18
524288              91046.50         173657.42
1048576            113673.41         108407.42
2097152            138993.98          66277.49
4194304            149180.41          35567.38
  [run 3/6] recording — 21:26:15
  [run 3/6] done in 4s
# OSU MPI Multiple Bandwidth / Message Rate Test v7.5
# [ pairs: 4 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                      12.89       12889759.45
2                      27.95       13975446.89
4                      54.77       13693641.94
8                     106.64       13329672.88
16                    224.05       14003171.77
32                    430.88       13465020.53
64                    839.39       13115466.31
128                  1643.64       12840969.12
256                  1648.77        6440493.40
512                  3120.16        6094056.65
1024                 2185.43        2134204.40
2048                 4385.30        2141259.83
4096                 8613.05        2102794.19
8192                 3801.79         464085.28
16384                7401.72         451765.35
32768               13438.14         410099.44
65536               24343.12         371446.52
131072              41668.10         317902.35
262144              63051.21         240521.30
524288              91194.27         173939.26
1048576            113845.99         108571.99
2097152            139179.15          66365.79
4194304            149175.78          35566.28
  [run 4/6] recording — 21:26:19
  [run 4/6] done in 4s
# OSU MPI Multiple Bandwidth / Message Rate Test v7.5
# [ pairs: 4 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                      13.52       13515570.03
2                      27.14       13571446.84
4                      54.75       13688454.26
8                     111.12       13890296.23
16                    225.33       14083379.66
32                    443.60       13862610.70
64                    867.81       13559587.77
128                  1643.67       12841159.12
256                  1648.83        6440750.23
512                  3079.75        6015128.05
1024                 2198.23        2146710.65
2048                 4358.69        2128267.48
4096                 8712.52        2127080.51
8192                 3768.45         460015.93
16384                7349.79         448595.65
32768               13374.89         408169.36
65536               24217.62         369531.61
131072              41563.45         317103.96
262144              62973.14         240223.47
524288              91095.04         173750.00
1048576            113779.60         108508.68
2097152            139193.91          66372.83
4194304            149273.73          35589.63
  [run 5/6] recording — 21:26:23
  [run 5/6] done in 4s
# OSU MPI Multiple Bandwidth / Message Rate Test v7.5
# [ pairs: 4 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                      13.42       13415397.83
2                      27.45       13723695.64
4                      55.54       13884841.78
8                     109.96       13744479.38
16                    223.36       13959780.29
32                    426.97       13342718.40
64                    870.41       13600095.31
128                  1678.45       13112883.23
256                  1710.78        6682749.64
512                  3150.84        6153981.88
1024                 2236.17        2183756.41
2048                 4442.09        2168987.19
4096                 8859.02        2162845.91
8192                 3769.85         460186.45
16384                7351.98         448729.20
32768               13401.50         408981.23
65536               24354.84         371625.35
131072              41690.00         318069.45
262144              63144.09         240875.60
524288              91142.32         173840.19
1048576            113763.65         108493.48
2097152            138915.56          66240.10
4194304            149140.43          35557.85
  [run 6/6] recording — 21:26:27
  [run 6/6] done in 4s
# OSU MPI Multiple Bandwidth / Message Rate Test v7.5
# [ pairs: 4 ] [ window size: 64 ]
# Datatype: MPI_CHAR.
# Size                  MB/s        Messages/s
1                      13.23       13230979.30
2                      27.28       13640231.44
4                      53.86       13465546.41
8                     109.13       13640651.16
16                    228.80       14300022.29
32                    447.60       13987599.66
64                    861.68       13463682.11
128                  1688.79       13193662.61
256                  1717.46        6708832.29
512                  3186.22        6223090.38
1024                 2206.97        2155244.63
2048                 4577.88        2235292.23
4096                 8922.10        2178246.79
8192                 3787.49         462339.80
16384                7387.95         450924.84
32768               13456.41         410657.19
65536               24436.68         372874.11
131072              41741.56         318462.86
262144              63113.05         240757.18
524288              91145.27         173845.81
1048576            113872.07         108596.87
2097152            138886.97          66226.47
4194304            149141.90          35558.20
ALL BENCHMARKS COMPLETE  CSV=results/osu_mbw_mr_native_18634827.csv
