stack,sdma_enabled,ucx_rndv_thresh,pair_label,gcd_a,gcd_b,tier,num_links,run,size_bytes,bandwidth_MBps
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,2,1,2.94
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,2,2,5.92
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,2,4,12.56
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,2,8,25.86
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,2,16,51.60
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,2,32,103.21
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,2,64,203.21
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,2,128,399.97
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,2,256,789.17
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,2,512,42.97
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,2,1024,124.96
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,2,2048,247.18
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,2,4096,491.53
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,2,8192,929.72
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,2,16384,1844.93
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,2,32768,3395.33
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,2,65536,6531.27
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,2,131072,12222.06
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,2,262144,21180.41
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,2,524288,37801.01
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,2,1048576,57918.57
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,2,2097152,82483.90
eessi,0,1024,intra_pkg_OAM0,0,1,intra_pkg,4,2,4194304,116664.06
