
# [eessi sdma=0 UCX_RNDV_THRESH=1024] intra_pkg_OAM0  GCD(0,1)
  [run 1/4] warm-up — 20:58:28
  [run 1/4] warm-up done in 19s
  [run 2/4] recording — 20:58:47
  [run 2/4] done in 10s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.94
2                       5.92
4                      12.56
8                      25.86
16                     51.60
32                    103.21
64                    203.21
128                   399.97
256                   789.17
512                    42.97
1024                  124.96
2048                  247.18
4096                  491.53
8192                  929.72
16384                1844.93
32768                3395.33
65536                6531.27
131072              12222.06
262144              21180.41
524288              37801.01
1048576             57918.57
2097152             82483.90
4194304            116664.06
8388608            131587.46
16777216           141804.11
33554432           147580.04
67108864           150087.09
  [run 3/4] recording — 20:58:57
  [run 3/4] done in 9s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.91
2                       5.78
4                      12.16
8                      25.02
16                     47.67
32                     94.70
64                    198.94
128                   395.89
256                   706.30
512                    42.86
1024                  123.18
2048                  247.62
4096                  490.64
8192                  931.96
16384                1850.62
32768                3298.42
65536                6610.44
131072              12112.79
262144              21110.04
524288              37557.34
1048576             57646.25
2097152             82109.87
4194304            116619.48
8388608            131818.78
16777216           141833.61
33554432           147519.90
67108864           150013.87
  [run 4/4] recording — 20:59:06
  [run 4/4] done in 10s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.02
2                       6.04
4                      12.92
8                      26.44
16                     53.18
32                    105.66
64                    211.01
128                   375.35
256                   804.89
512                    42.98
1024                  117.85
2048                  234.16
4096                  466.49
8192                  913.05
16384                1808.93
32768                3281.35
65536                6402.83
131072              12103.80
262144              21115.49
524288              37770.76
1048576             57740.99
2097152             82305.74
4194304            116725.34
8388608            131941.69
16777216           142012.42
33554432           147424.15
67108864           149848.99

# [eessi sdma=0 UCX_RNDV_THRESH=DEFAULT] intra_pkg_OAM0  GCD(0,1)
  [run 1/4] warm-up — 20:59:16
  [run 1/4] warm-up done in 10s
  [run 2/4] recording — 20:59:26
  [run 2/4] done in 10s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       3.00
2                       6.03
4                      12.89
8                      26.35
16                     52.85
32                    105.31
64                    210.42
128                   411.88
256                    29.94
512                    59.03
1024                  118.36
2048                  235.23
4096                  472.70
8192                  915.18
16384                1816.70
32768                3438.29
65536                6755.93
131072              12158.29
262144              21052.53
524288              37742.35
1048576             57804.52
2097152             82471.16
