
# [native sdma=0 MPICH_GPU_IPC_THRESHOLD=1] intra_pkg_OAM0  GCD(0,1)
  [run 1/4] warm-up — 20:58:48
  [run 1/4] warm-up done in 9s
  [run 2/4] recording — 20:58:57
  [run 2/4] done in 7s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.56
2                       1.13
4                       2.25
8                       4.50
16                      8.99
32                     17.96
64                     36.04
128                    72.03
256                   144.12
512                   288.52
1024                  578.38
2048                 1133.72
4096                 2314.16
8192                 1103.08
16384                2193.56
32768                4095.14
65536                7934.94
131072              14897.12
262144              23279.62
524288              41489.24
1048576             61819.24
2097152             85352.90
4194304            118172.30
8388608            133178.94
16777216           142859.17
33554432           148108.59
67108864           150382.90
  [run 3/4] recording — 20:59:04
  [run 3/4] done in 8s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.55
2                       1.10
4                       2.21
8                       4.42
16                      8.72
32                     17.69
64                     35.44
128                    69.97
256                   141.64
512                   282.99
1024                  566.62
2048                 1135.49
4096                 2270.38
8192                 1087.21
16384                2165.90
32768                4020.73
65536                7810.55
131072              14634.38
262144              23240.09
524288              41287.51
1048576             61432.21
2097152             85239.85
4194304            117957.08
8388608            132348.20
16777216           142577.15
33554432           147719.89
67108864           150082.34
  [run 4/4] recording — 20:59:12
  [run 4/4] done in 7s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       0.56
2                       1.12
4                       2.24
8                       4.46
16                      8.94
32                     17.85
64                     35.76
128                    71.37
256                   143.53
512                   285.18
1024                  568.82
2048                 1143.24
4096                 2281.00
8192                 1079.05
16384                2170.93
32768                4055.83
65536                7800.44
131072              14311.23
262144              23046.54
524288              41314.98
1048576             61661.42
2097152             85151.71
4194304            117910.34
8388608            132725.57
16777216           142601.07
33554432           148062.70
67108864           150338.11

# [native sdma=0 MPICH_GPU_IPC_THRESHOLD=DEFAULT] intra_pkg_OAM0  GCD(0,1)
  [run 1/4] warm-up — 20:59:19
  [run 1/4] warm-up done in 8s
  [run 2/4] recording — 20:59:27
  [run 2/4] done in 8s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.51
2                       5.46
4                      11.04
8                      22.87
16                     47.76
32                     95.13
64                    154.16
128                   291.05
256                   439.86
512                   788.93
1024                  582.14
2048                 1155.83
4096                 2341.73
8192                 1036.95
16384                2044.26
32768                3830.22
65536                7527.65
131072              14062.30
262144              22770.97
524288              40349.50
1048576             60452.74
2097152             84108.25
4194304            117748.89
8388608            132609.41
16777216           142232.94
33554432           147717.22
67108864           149954.78
  [run 3/4] recording — 20:59:35
  [run 3/4] done in 8s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.85
2                       6.27
4                      12.77
8                      25.20
16                     51.54
32                     99.53
64                    182.86
128                   348.89
256                   441.92
512                   793.83
1024                  575.04
2048                 1126.11
4096                 2303.26
8192                 1050.79
16384                2095.46
32768                3903.58
65536                7578.54
131072              14190.06
262144              22823.85
524288              40572.74
1048576             60648.37
2097152             84737.61
4194304            117873.39
8388608            131944.00
16777216           142560.13
33554432           147720.23
67108864           150060.98
  [run 4/4] recording — 20:59:43
  [run 4/4] done in 8s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.74
2                       5.80
4                      11.84
8                      23.59
16                     48.06
32                     91.76
64                    175.51
128                   298.10
256                   439.55
512                   781.78
1024                  573.23
2048                 1145.26
4096                 2294.98
8192                 1099.45
16384                2191.25
32768                4099.74
65536                7953.71
131072              14779.98
262144              23349.44
524288              41408.74
1048576             61681.73
2097152             85182.30
4194304            117895.90
8388608            132919.50
16777216           142875.45
33554432           148084.38
67108864           150237.21

# [native sdma=0 MPICH_GPU_IPC_THRESHOLD=16777216] intra_pkg_OAM0  GCD(0,1)
  [run 1/4] warm-up — 20:59:51
  [run 1/4] warm-up done in 9s
  [run 2/4] recording — 21:00:00
  [run 2/4] done in 7s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.68
2                       6.08
4                      11.73
8                      23.82
16                     48.43
32                     94.80
64                    175.32
128                   295.31
256                   436.57
512                   778.29
1024                 1371.93
2048                 1775.64
4096                 2780.42
8192                 1084.57
16384                2158.03
32768                4049.08
65536                7825.44
131072              14497.55
262144              23252.73
524288              41434.22
1048576             61756.21
2097152             84914.35
4194304            117825.79
8388608            132813.79
16777216           142768.50
33554432           148102.35
67108864           150193.75
  [run 3/4] recording — 21:00:07
  [run 3/4] done in 9s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.86
2                       6.37
4                      12.89
8                      25.61
16                     51.52
32                    101.14
64                    187.40
128                   308.22
256                   447.94
512                   808.12
1024                 1419.05
2048                 1812.62
4096                 2866.14
8192                 1061.12
16384                2107.69
32768                3951.66
65536                7645.00
131072              14217.86
262144              22916.22
524288              40678.88
1048576             60904.40
2097152             85160.42
4194304            117969.32
8388608            132863.19
16777216           142572.96
33554432           147785.40
67108864           150117.16
  [run 4/4] recording — 21:00:16
  [run 4/4] done in 7s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.77
2                       5.88
4                      11.91
8                      24.02
16                     48.88
32                     95.05
64                    180.51
128                   356.86
256                   430.89
512                   782.23
1024                 1398.70
2048                 1819.37
4096                 2782.53
8192                 1102.59
16384                2155.12
32768                4064.50
65536                7837.84
131072              14795.44
262144              23439.27
524288              41612.48
1048576             61903.79
2097152             85581.16
4194304            118163.63
8388608            133142.26
16777216           142386.58
33554432           147920.05
67108864           150203.58
ALL BENCHMARKS COMPLETE  CSV=results/osu_protocol_native_18634231.csv
