
# [native sdma=0 MPICH_GPU_IPC_THRESHOLD=DEFAULT] intra_pkg_OAM0  GCD(0,1)
  [run 1/4] warm-up — 01:11:51
  [run 1/4] warm-up done in 10s
  [run 2/4] recording — 01:12:01
srun: Step created for StepId=18638911.1
  [run 2/4] done in 7s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.67
2                       5.91
4                      12.01
8                      23.86
16                     48.56
32                     91.69
64                    178.66
128                   365.28
256                   409.83
512                   777.45
1024                  569.66
2048                 1132.90
4096                 2286.66
8192                 1083.96
16384                2159.53
32768                4063.28
65536                7888.38
131072              14638.23
262144              23382.95
524288              41303.27
1048576             61484.72
2097152             85133.50
4194304            117757.70
8388608            132886.72
16777216           142603.47
33554432           148344.26
67108864           150602.30
  [run 3/4] recording — 01:12:08
  [run 3/4] done in 8s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.75
2                       5.99
4                      12.04
8                      24.11
16                     49.33
32                     95.79
64                    182.94
128                   354.46
256                   431.14
512                   774.75
1024                  566.39
2048                 1135.64
4096                 2247.77
8192                 1092.44
16384                2179.79
32768                4027.42
65536                7824.54
131072              14614.82
262144              23348.25
524288              41626.68
1048576             61773.31
2097152             85331.32
4194304            118282.48
8388608            133247.43
16777216           142911.12
33554432           148092.09
67108864           150351.41
  [run 4/4] recording — 01:12:16
  [run 4/4] done in 8s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.55
2                       5.76
4                      11.51
8                      22.61
16                     45.85
32                     90.10
64                    173.39
128                   276.37
256                   432.22
512                   778.82
1024                  567.64
2048                 1137.66
4096                 2256.21
8192                 1101.48
16384                2193.50
32768                4069.08
65536                7891.68
131072              14756.42
262144              23295.72
524288              41096.39
1048576             61344.88
2097152             85250.80
4194304            117999.66
8388608            133147.41
16777216           142778.11
33554432           148134.44
67108864           150309.31

# [native sdma=0 MPICH_GPU_IPC_THRESHOLD=1024] intra_pkg_OAM0  GCD(0,1)
  [run 1/4] warm-up — 01:12:24
  [run 1/4] warm-up done in 8s
  [run 2/4] recording — 01:12:32
srun: Step created for StepId=18638911.5
  [run 2/4] done in 8s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.79
2                       6.11
4                      12.24
8                      24.56
16                     49.76
32                     98.64
64                    182.53
128                   302.65
256                   425.92
512                   779.64
1024                  561.11
2048                 1124.80
4096                 2252.13
8192                 1108.95
16384                2209.37
32768                4117.75
65536                7971.51
131072              14660.64
262144              23263.76
524288              41484.81
1048576             61584.97
2097152             85166.18
4194304            118220.18
8388608            132755.83
16777216           142880.22
33554432           148200.73
67108864           150375.33
  [run 3/4] recording — 01:12:40
  [run 3/4] done in 8s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.77
2                       6.23
4                      12.45
8                      24.49
16                     50.51
32                     95.99
64                    194.66
128                   351.17
256                   428.32
512                   764.10
1024                  576.23
2048                 1149.65
4096                 2314.12
8192                 1098.91
16384                2191.00
32768                4056.70
65536                7853.72
131072              14772.32
262144              23373.36
524288              41429.98
1048576             61521.78
2097152             84937.91
4194304            118110.53
8388608            132994.19
16777216           142860.09
33554432           148268.84
67108864           150242.45
  [run 4/4] recording — 01:12:48
  [run 4/4] done in 8s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.71
2                       6.02
4                      11.95
8                      24.49
16                     48.83
32                     95.84
64                    193.42
128                   312.84
256                   434.40
512                   777.27
1024                  575.96
2048                 1159.55
4096                 2315.89
8192                 1097.38
16384                2197.56
32768                4107.39
65536                7972.54
131072              14926.89
262144              23474.06
524288              41547.02
1048576             61852.57
2097152             85375.02
4194304            118002.87
8388608            132676.41
16777216           142815.37
33554432           148125.88
67108864           150313.42

# [native sdma=0 MPICH_GPU_IPC_THRESHOLD=2048] intra_pkg_OAM0  GCD(0,1)
  [run 1/4] warm-up — 01:12:56
  [run 1/4] warm-up done in 8s
  [run 2/4] recording — 01:13:04
  [run 2/4] done in 8s

# OSU MPI-ROCM Bandwidth Test v7.5
# Datatype: MPI_CHAR.
# Size      Bandwidth (MB/s)
1                       2.78
2                       5.89
