=== CFG baseline: NCH=unset AFF=unset GDR=unset ===

# [eessi_xccl cfg=baseline] osu_xccl_allreduce
  [run 1/6] warm-up — 21:42:01
  [run 1/6] warm-up done in 18s
  [run 2/6] recording — 21:42:19
  [run 2/6] done in 6s
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL

# OSU RCCL-ROCM Allreduce Latency Test v7.5
# Size       Avg Latency(us)
4                      37.85
8                      36.57
16                     36.43
32                     38.22
64                     41.47
128                    47.19
256                    47.14
512                    47.59
1024                   47.88
2048                   48.58
4096                   49.75
8192                   50.69
16384                  51.95
32768                  51.24
65536                  51.51
131072                 52.49
262144                 85.57
524288                108.72
1048576               120.96
  [run 3/6] recording — 21:42:25
  [run 3/6] done in 7s
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL

# OSU RCCL-ROCM Allreduce Latency Test v7.5
# Size       Avg Latency(us)
4                      38.00
8                      36.70
16                     36.61
32                     38.36
64                     41.62
128                    46.39
256                    46.38
512                    46.77
1024                   47.29
2048                   47.94
4096                   48.65
8192                   49.90
16384                  50.87
32768                  51.52
65536                  51.15
131072                 52.42
262144                 83.45
524288                107.19
1048576               118.97
  [run 4/6] recording — 21:42:32
  [run 4/6] done in 6s
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL

# OSU RCCL-ROCM Allreduce Latency Test v7.5
# Size       Avg Latency(us)
4                      37.44
8                      37.04
16                     36.89
32                     38.18
64                     41.07
128                    47.53
256                    47.49
512                    47.79
1024                   48.17
2048                   49.00
4096                   49.79
8192                   51.03
16384                  52.12
32768                  51.72
65536                  51.86
131072                 52.71
262144                 85.01
524288                108.13
1048576               119.92
  [run 5/6] recording — 21:42:38
  [run 5/6] done in 6s
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL

# OSU RCCL-ROCM Allreduce Latency Test v7.5
# Size       Avg Latency(us)
4                      34.80
8                      34.61
16                     34.39
32                     36.33
64                     39.50
128                    45.17
256                    45.15
512                    45.54
1024                   46.03
2048                   46.69
4096                   47.51
8192                   48.75
16384                  49.81
32768                  49.83
65536                  49.48
131072                 50.17
262144                 83.53
524288                107.29
1048576               119.58
  [run 6/6] recording — 21:42:45
  [run 6/6] done in 6s
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL

# OSU RCCL-ROCM Allreduce Latency Test v7.5
# Size       Avg Latency(us)
4                      37.49
8                      36.84
16                     36.70
32                     37.88
64                     40.84
128                    46.88
256                    46.90
512                    47.33
1024                   47.79
2048                   48.60
4096                   49.26
8192                   50.40
16384                  51.59
32768                  51.45
65536                  51.62
131072                 52.05
262144                 85.07
524288                108.83
1048576               120.72

# [eessi_xccl cfg=baseline] osu_xccl_alltoall
  [run 1/6] warm-up — 21:42:51
  [run 1/6] warm-up done in 6s
  [run 2/6] recording — 21:42:57
  [run 2/6] done in 7s
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL

# OSU RCCL-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Size       Avg Latency(us)
1                      33.00
2                      32.47
4                      32.51
8                      32.62
16                     32.59
32                     32.66
64                     32.71
128                    32.82
256                    32.96
512                    33.13
1024                   33.41
2048                   34.00
4096                   35.44
8192                   35.64
16384                  38.77
32768                  45.19
65536                  45.16
131072                 50.67
262144                 67.22
524288                100.03
1048576               166.93
  [run 3/6] recording — 21:43:04
  [run 3/6] done in 6s
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL
#Using RCCL

# OSU RCCL-ROCM All-to-All Personalized Exchange Latency Test v7.5
# Size       Avg Latency(us)
1                      26.99
2                      26.54
4                      26.46
8                      26.48
16                     26.44
32                     26.60
64                     26.70
128                    26.65
256                    26.76
512                    27.02
1024                   27.33
2048                   28.06
4096                   29.71
8192                   30.38
16384                  33.70
32768                  40.81
65536                  39.51
131072                 46.66
262144                 64.71
524288                 98.45
1048576               166.23
  [run 4/6] recording — 21:43:10
  [run 4/6] done in 7s
#Using RCCL
#Using RCCL
#Using RCCL
